Timestamp_ms,MotorLeft_Vel,MotorRight_Vel,AccelX,AccelY,AccelZ
1400358,1.27,1.36,0.11,0.49,10.07
1400368,1.27,1.26,0.25,0.67,9.74
1400378,1.22,1.21,0.28,0.65,9.84
1400388,1.17,1.10,0.29,0.37,9.80
1400398,1.13,1.09,0.30,0.13,9.66
1400408,1.17,1.10,0.37,-0.13,9.72
1400418,1.19,1.09,0.37,-0.27,9.82
1400428,1.22,1.09,0.32,-0.26,9.88
1400438,1.16,1.08,0.20,-0.21,9.89
1400448,1.15,1.02,0.27,-0.06,10.01
1400458,1.11,0.92,0.15,0.09,9.90
1400468,1.06,0.87,0.25,0.18,9.92
1400478,0.94,0.78,0.16,0.32,9.91
1400488,0.86,0.71,0.21,0.50,9.83
1400498,0.83,0.67,0.32,0.56,9.80
1400508,0.74,0.70,0.25,0.40,9.70
1400518,0.71,0.67,0.35,0.31,9.72
1400528,0.69,0.76,0.34,0.11,9.72
1400538,0.68,0.83,0.37,-0.05,9.69
1400548,0.65,0.86,0.41,-0.02,9.72
1400558,0.64,0.90,0.36,0.09,9.82
1400568,0.63,0.97,0.48,0.24,9.78
1400578,0.63,0.94,0.37,0.29,9.88
1400588,0.56,0.99,0.30,0.16,9.87
1400598,0.57,1.01,0.30,0.11,9.89
1400608,0.53,0.97,0.17,0.02,9.97
1400618,0.46,0.96,0.29,-0.06,9.85
1400628,0.40,0.89,0.24,-0.06,9.92
1400638,0.30,0.73,0.23,-0.17,9.90
1400648,0.30,0.62,0.25,-0.01,9.90
1400658,0.19,0.49,0.30,-0.06,9.87
1400668,0.17,0.36,0.33,0.01,9.86
1400678,0.16,0.26,0.32,0.05,9.85
1400688,0.10,0.16,0.33,0.03,9.85
1400698,0.06,0.04,0.36,0.08,9.76
1400708,0.04,-0.05,0.33,0.05,9.79
1400718,0.02,-0.03,0.37,0.13,9.74
1400728,0.01,-0.06,0.35,0.15,9.78
1400738,0.01,-0.09,0.38,0.14,9.75
1400748,0.01,-0.12,0.38,0.18,9.76
1400758,0.00,-0.08,0.38,0.14,9.76
1400768,0.00,-0.05,0.37,0.19,9.79
1400778,0.00,-0.03,0.37,0.12,9.79
